s_name,s_has_🥺,j_expressive,j_annoying,j_friendly,j_cute,j_cisgender,j_feminine,r_timestamp,r_🥺_frequency,r_🥺_opinion,r_college_student,r_between_18_and_25yo,r_woman,r_man,r_transgender,r_cisgender
Wren,True,1,0.5,1,0.5,0,1,1713322080,0.0,0.5,True,True,False,True,False,True
Sage,False,0,0.5,1,0.5,0.5,0.5,1713322080,0.0,0.5,True,True,False,True,False,True
Wren,True,1,0.5,1,0.5,0.5,1,1713322339,0.25,0.5,True,True,False,False,True,False
Sage,False,0.5,0,1,0.5,0.5,0.5,1713322339,0.25,0.5,True,True,False,False,True,False
Wren,True,1,0,1,1,0.5,0.5,1713335948,0.75,0.75,True,True,False,False,True,False
Sage,False,0.5,0,1,1,0.5,0.5,1713335948,0.75,0.75,True,True,False,False,True,False
Wren,True,1,0.5,1,1,0.5,1,1713388640,0.0,0.5,True,True,False,True,False,True
Sage,False,0,0,1,0.5,0.5,0,1713388640,0.0,0.5,True,True,False,True,False,True
Wren,True,1,0.5,1,1,0.5,1,1713462102,0.25,0.5,True,True,True,False,False,True
Sage,False,0,0,0,0,0.5,0,1713462102,0.25,0.5,True,True,True,False,False,True
Wren,True,1,1,1,0.5,0.5,1,1713465291,0.25,0.5,True,True,False,False,False,False
Sage,False,0,0,1,0.5,0.5,0.5,1713465291,0.25,0.5,True,True,False,False,False,False
Wren,True,1,0.5,1,0.5,0.5,1,1713470699,0.25,0.5,True,True,True,False,True,False
Sage,False,0.5,0.5,1,0.5,0.5,0.5,1713470699,0.25,0.5,True,True,True,False,True,False
Wren,True,0.5,1,1,0,0.5,1,1713478324,0.0,0.25,True,True,False,True,False,True
Sage,False,0.5,0.5,1,0.5,0.5,0,1713478324,0.0,0.25,True,True,False,True,False,True
Wren,True,1,0.5,1,0.5,0.5,0.5,1713482859,0.5,0.5,False,False,False,True,False,True
Sage,False,0.5,0.5,0.5,0.5,0.5,0.5,1713482859,0.5,0.5,False,False,False,True,False,True
Wren,True,0.5,0,1,0.5,0.5,0.5,1713494795,0.0,0.5,True,True,False,True,False,True
Sage,False,1,0,1,0.5,0.5,0.5,1713494795,0.0,0.5,True,True,False,True,False,True
Wren,True,1,0.5,0.75,1,0.25,1,1713502979,0.25,0.5,True,True,False,False,False,False
Sage,False,0.25,0.75,0.5,0.5,0.5,0.25,1713502979,0.25,0.5,True,True,False,False,False,False
Wren,True,1,1,1,0.5,0.5,0.5,1713552406,0.0,0.25,False,False,False,False,False,True
Sage,False,1,0,1,0.5,0.5,0.5,1713552406,0.0,0.25,False,False,False,False,False,True
